"","date","ch4.corr","ch4.raw","lon","lat","alt"
"117",2020-03-13 13:53:51,2126.51247448409,2126.51247448409,8.604014493,47.39002579,7.131277419
"118",2020-03-13 13:53:53,2151.31145441954,2151.31145441954,8.603989723,47.390014025,7.127077419
"119",2020-03-13 13:53:55,2156.15390425739,2156.15390425739,8.60396318,47.390002235,7.138827419
"120",2020-03-13 13:53:57,2160.99635409524,2160.99635409524,8.6039369095,47.38999129,7.200777419
"121",2020-03-13 13:53:59,2156.38146238813,2156.38146238813,8.603910404,47.389979805,7.283727419
"122",2020-03-13 13:54:01,2153.30219772254,2153.30219772254,8.6038848615,47.38996771,7.269327419
"123",2020-03-13 13:54:03,2149.49279056973,2149.49279056973,8.6038546455,47.38995404,7.296177419
"124",2020-03-13 13:54:05,2145.68338341693,2145.68338341693,8.603827152,47.38994128,7.226827419
"125",2020-03-13 13:54:07,2110.73821018951,2110.73821018951,8.603800377,47.389929295,7.181477419
"126",2020-03-13 13:54:09,2075.80102672394,2075.80102672394,8.603777196,47.38991872,7.176527419
"127",2020-03-13 13:54:11,2065.21149530207,2065.21149530207,8.603752121,47.38990954,7.206477419
"128",2020-03-13 13:54:13,2054.6219638802,2054.6219638802,8.603721649,47.38989768,7.216127419
"129",2020-03-13 13:54:15,2032.75231904734,2032.75231904734,8.6036948245,47.38988214,7.275277419
"130",2020-03-13 13:54:17,2010.8927127166,2010.8927127166,8.6036817655,47.38986978,6.874727419
"131",2020-03-13 13:54:19,2004.92798026768,2004.92798026768,8.6036843145,47.38986704,5.671627419
"132",2020-03-13 13:54:21,1998.96324781876,1998.96324781876,8.6036851825,47.38986748,4.320077419
"133",2020-03-13 13:54:23,1995.54585594687,1995.54585594687,8.6036838295,47.38986781,3.552227419
"134",2020-03-13 13:54:25,1992.12192626323,1992.12192626323,8.6036816985,47.38986737,3.198327419
"135",2020-03-13 13:54:27,1990.82043174006,1990.82043174006,8.603681487,47.38986747,2.844077419
"136",2020-03-13 13:54:29,1992.37643614377,1992.37643614377,8.60368128,47.389867865,2.737177419
"137",2020-03-13 13:54:31,1993.92706884776,1993.92706884776,8.6036826335,47.389867455,2.739227419
